student_id,assessment_id,score
IND00049,102,40.9
IND00049,103,84.3
IND00050,101,59.8
IND00050,102,78.8
IND00050,103,68.0
IND00051,101,77.8
IND00051,102,63.2
IND00051,103,68.6
IND00052,101,81.5
IND00052,102,66.4
IND00052,103,85.0
IND00053,101,70.3
IND00053,102,54.0
IND00053,103,59.7
IND00054,101,78.3
IND00054,102,46.4
IND00054,103,76.9
IND00055,101,59.5
IND00055,102,45.7
IND00055,103,68.1
IND00056,101,54.5
IND00056,102,56.4
IND00056,103,55.6
IND00057,101,66.7
IND00057,102,59.2
IND00057,103,70.9
IND00058,101,80.2
IND00058,102,73.1
IND00058,103,92.1
IND00059,101,95.8
IND00059,102,60.6
IND00059,103,47.7
IND00060,101,60.7
IND00060,102,66.8
IND00060,103,98.4
IND00061,101,59.4
IND00061,102,69.2
IND00061,103,54.8
IND00062,101,59.8
IND00062,102,46.8
IND00062,103,43.1
IND00063,101,85.4
IND00063,102,81.0
IND00063,103,59.5
IND00064,101,81.0
IND00064,102,45.4
IND00064,103,62.4
IND00065,101,67.6
IND00065,102,84.0
IND00065,103,68.0
IND00066,101,73.2
IND00066,102,58.0
IND00066,103,69.0
IND00067,101,84.0
IND00067,102,40.8
IND00067,103,82.0
IND00068,101,61.9
IND00068,102,43.9
IND00068,103,61.0
IND00069,101,84.4
IND00069,102,57.8
IND00069,103,69.5
IND00070,101,40.8
IND00070,102,37.6
IND00070,103,48.8
IND00071,101,80.2
IND00071,102,64.2
IND00071,103,81.5
IND00072,101,82.4
IND00072,102,53.6
IND00072,103,88.5
IND00073,101,56.8
IND00073,102,80.0
IND00073,103,79.4
IND00074,101,66.0
IND00074,102,66.0
IND00074,103,69.8
IND00075,101,66.7
IND00075,102,59.1
IND00075,103,57.9
IND00076,101,59.3
IND00076,102,83.3
IND00076,103,41.2
IND00077,101,57.5
IND00077,102,60.1
IND00077,103,61.6
IND00078,101,69.5
IND00078,102,44.8
IND00078,103,80.4
IND00079,101,78.3
IND00079,102,75.1
IND00079,103,61.9
IND00080,101,53.9
IND00080,102,60.1
IND00080,103,65.9
IND00081,101,75.0
IND00081,102,63.8
IND00081,103,70.4
IND00082,101,58.5
IND00082,102,69.3
IND00082,103,61.3
IND00083,101,69.0
IND00083,102,38.5
IND00083,103,72.3
IND00084,101,73.1
IND00084,102,72.9
IND00084,103,50.2
IND00085,101,54.3
IND00085,102,52.0
IND00085,103,69.9
IND00086,101,74.9
IND00086,102,54.6
IND00086,103,84.7
IND00087,101,84.5
IND00087,102,67.1
IND00087,103,70.6
IND00088,101,39.8
IND00088,102,57.1
IND00088,103,46.2
IND00089,101,51.4
IND00089,102,72.7
IND00089,103,76.3
IND00090,101,77.0
IND00090,102,68.6
IND00090,103,72.9
IND00091,101,41.2
IND00091,102,45.7
IND00091,103,61.9
IND00092,101,74.0
IND00092,102,58.3
IND00092,103,44.6
IND00093,101,54.6
IND00093,102,51.0
IND00093,103,39.1
IND00094,101,98.4
IND00094,102,83.5
IND00094,103,35.4
IND00095,101,36.2
IND00095,102,52.9
IND00095,103,42.7
IND00096,101,100.0
IND00096,102,53.0
IND00096,103,70.4
IND00097,101,57.4
IND00097,102,47.5
IND00097,103,80.7
IND00098,101,74.8
IND00098,102,64.1
IND00098,103,100.0
IND00099,101,68.5
IND00099,102,58.2
IND00099,103,93.7
IND00100,101,71.1
IND00100,102,89.4
IND00100,103,64.4
IND00101,101,19.8
IND00101,102,41.6
IND00101,103,81.2
IND00102,101,56.2
IND00102,102,68.8
IND00102,103,82.0
IND00103,101,67.7
IND00103,102,52.1
IND00103,103,64.8
IND00104,101,66.6
IND00104,102,58.9
IND00104,103,44.2
IND00105,101,59.7
IND00105,102,63.6
IND00105,103,43.4
IND00106,101,51.2
IND00106,102,54.2
IND00106,103,37.1
IND00107,101,66.9
IND00107,102,68.6
IND00107,103,56.8
IND00108,101,44.5
IND00108,102,71.1
IND00108,103,73.2
IND00109,101,66.5
IND00109,102,65.6
IND00109,103,73.9
IND00110,101,63.6
IND00110,102,51.2
IND00110,103,63.9
IND00111,101,59.1
IND00111,102,63.9
IND00111,103,78.3
IND00112,101,47.0
IND00112,102,67.7
IND00112,103,46.2
IND00113,101,51.2
IND00113,102,88.6
IND00113,103,71.9
IND00114,101,67.4
IND00114,102,40.1
IND00114,103,61.5
IND00115,101,33.9
IND00115,102,65.6
IND00115,103,46.3
IND00116,101,73.4
IND00116,102,67.4
IND00116,103,46.8
IND00117,101,70.7
IND00117,102,96.4
IND00117,103,62.0
IND00118,101,78.2
IND00118,102,33.5
IND00118,103,72.0
IND00119,101,56.5
IND00119,102,61.0
IND00119,103,73.9
IND00120,101,61.3
IND00120,102,40.7
IND00120,103,87.9
IND00121,101,43.2
IND00121,102,52.4
IND00121,103,66.9
IND00122,101,67.1
IND00122,102,71.4
IND00122,103,67.0
IND00123,101,82.2
IND00123,102,72.4
IND00123,103,47.2
IND00124,101,26.0
IND00124,102,67.3
IND00124,103,87.0
IND00125,101,46.2
IND00125,102,49.3
IND00125,103,70.3
IND00126,101,72.2
IND00126,102,81.8
IND00126,103,89.6
IND00127,101,68.5
IND00127,102,51.1
IND00127,103,51.6
IND00128,101,56.8
IND00128,102,80.5
IND00128,103,57.5
IND00129,101,79.4
IND00129,102,42.1
IND00129,103,69.3
IND00130,101,53.7
IND00130,102,72.8
IND00130,103,61.2
IND00131,101,77.0
IND00131,102,58.5
IND00131,103,64.6
IND00132,101,77.1
IND00132,102,63.5
IND00132,103,65.9
IND00133,101,76.4
IND00133,102,63.8
IND00133,103,41.2
IND00134,101,56.4
IND00134,102,36.1
IND00134,103,61.3
IND00135,101,72.1
IND00135,102,66.9
IND00135,103,85.9
IND00136,101,84.2
IND00136,102,68.9
IND00136,103,29.1
IND00137,101,75.1
IND00137,102,53.4
IND00137,103,78.2
IND00138,101,69.7
IND00138,102,74.8
IND00138,103,72.5
IND00139,101,100.0
IND00139,102,72.8
IND00139,103,45.8
IND00140,101,81.1
IND00140,102,58.5
IND00140,103,85.2
IND00141,101,88.1
IND00141,102,74.3
IND00141,103,45.8
IND00142,101,58.1
IND00142,102,85.1
IND00142,103,95.0
IND00143,101,65.9
IND00143,102,60.9
IND00143,103,47.3
IND00144,101,47.5
IND00144,102,68.5
IND00144,103,75.5
IND00145,101,42.7
IND00145,102,77.4
IND00145,103,85.6
IND00146,101,74.5
IND00146,102,89.8
IND00146,103,70.3
IND00147,101,70.5
IND00147,102,70.2
IND00147,103,85.4
IND00148,101,73.1
IND00148,102,57.1
IND00148,103,71.4
IND00149,101,71.5
IND00149,102,61.8
IND00149,103,80.3
IND00150,101,66.4
IND00150,102,75.6
IND00150,103,72.6
IND00151,101,54.1
IND00151,102,50.3
IND00151,103,54.3
IND00152,101,63.8
IND00152,102,88.9
IND00152,103,64.3
IND00153,101,70.6
IND00153,102,78.1
IND00153,103,59.6
IND00154,101,58.8
IND00154,102,80.8
IND00154,103,73.5
IND00155,101,56.5
IND00155,102,58.8
IND00155,103,66.3
IND00156,101,69.9
IND00156,102,83.7
IND00156,103,73.0
IND00157,101,50.2
IND00157,102,53.2
IND00157,103,69.6
IND00158,101,67.1
IND00158,102,52.3
IND00158,103,80.8
IND00159,101,31.3
IND00159,102,70.0
IND00159,103,41.8
IND00160,101,78.2
IND00160,102,61.0
IND00160,103,76.2
IND00161,101,59.1
IND00161,102,84.9
IND00161,103,37.0
IND00162,101,78.2
IND00162,102,55.9
IND00162,103,70.6
IND00163,101,71.3
IND00163,102,44.1
IND00163,103,80.0
IND00164,101,70.9
IND00164,102,66.8
IND00164,103,70.8
IND00165,101,66.9
IND00165,102,77.5
IND00165,103,57.9
IND00166,101,77.5
IND00166,102,73.6
IND00166,103,62.4
IND00167,101,92.7
IND00167,102,71.8
IND00167,103,67.9
IND00168,101,73.6
IND00168,102,63.4
IND00168,103,83.0
IND00169,101,64.7
IND00169,102,77.3
IND00169,103,49.0
IND00170,101,38.1
IND00170,102,71.0
IND00170,103,59.2
IND00171,101,62.1
IND00171,102,29.9
IND00171,103,90.5
IND00172,101,66.6
IND00172,102,85.0
IND00172,103,44.1
IND00173,101,66.5
IND00173,102,71.1
IND00173,103,67.0
IND00174,101,68.5
IND00174,102,44.2
IND00174,103,69.8
IND00175,101,52.4
IND00175,102,55.7
IND00175,103,65.2
IND00176,101,59.7
IND00176,102,60.6
IND00176,103,81.9
IND00177,101,62.7
IND00177,102,59.0
IND00177,103,63.2
IND00178,101,48.3
IND00178,102,67.4
IND00178,103,75.8
IND00179,101,69.7
IND00179,102,65.5
IND00179,103,74.0
IND00180,101,56.7
IND00180,102,65.6
IND00180,103,86.0
IND00181,101,60.6
IND00181,102,74.1
IND00181,103,74.5
IND00182,101,53.6
IND00182,102,75.3
IND00182,103,55.9
IND00183,101,71.4
IND00183,102,55.7
IND00183,103,69.2
IND00184,101,66.9
IND00184,102,66.7
IND00184,103,69.1
IND00185,101,57.0
IND00185,102,47.5
IND00185,103,66.2
IND00186,101,81.5
IND00186,102,73.7
IND00186,103,71.7
IND00187,101,57.3
IND00187,102,67.8
IND00187,103,52.5
IND00188,101,58.6
IND00188,102,70.4
IND00188,103,37.8
IND00189,101,90.9
IND00189,102,45.0
IND00189,103,93.3
IND00190,101,52.4
IND00190,102,52.3
IND00190,103,59.0
IND00191,101,58.4
IND00191,102,55.9
IND00191,103,59.4
IND00192,101,66.4
IND00192,102,51.5
IND00192,103,77.6
IND00193,101,86.2
IND00193,102,35.8
IND00193,103,92.8
IND00194,101,76.6
IND00194,102,68.9
IND00194,103,56.4
IND00195,101,67.5
IND00195,102,78.5
IND00195,103,100.0
IND00196,101,97.9
IND00196,102,42.1
IND00196,103,61.9
IND00197,101,66.2
IND00197,102,85.2
IND00197,103,63.7
IND00198,101,53.7
IND00198,102,65.8
IND00198,103,59.2
IND00199,101,79.8
IND00199,102,100.0
IND00199,103,78.7
IND00200,101,79.3
IND00200,102,83.5
IND00200,103,71.8
IND00201,101,59.0
IND00201,102,60.5
IND00201,103,81.4
IND00202,101,69.3
IND00202,102,50.3
IND00202,103,84.6
IND00203,101,53.4
IND00203,102,48.1
IND00203,103,51.8
IND00204,101,69.6
IND00204,102,79.6
IND00204,103,68.8
IND00205,101,56.6
IND00205,102,52.9
IND00205,103,76.6
IND00206,101,63.6
IND00206,102,70.1
IND00206,103,62.9
IND00207,101,69.5
IND00207,102,70.9
IND00207,103,100.0
IND00208,101,71.0
IND00208,102,59.2
IND00208,103,67.6
IND00209,101,50.8
IND00209,102,50.6
IND00209,103,83.7
IND00210,101,69.6
IND00210,102,81.8
IND00210,103,40.6
IND00211,101,50.4
IND00211,102,69.5
IND00211,103,52.6
IND00212,101,43.6
IND00212,102,48.8
IND00212,103,60.2
IND00213,101,71.2
IND00213,102,90.7
IND00213,103,49.2
IND00214,101,50.0
IND00214,102,43.2
IND00214,103,73.6
IND00215,101,66.9
IND00215,102,50.5
IND00215,103,52.5
IND00216,101,63.1
IND00216,102,64.0
IND00216,103,49.4
IND00217,101,67.7
IND00217,102,44.4
IND00217,103,65.7
IND00218,101,62.3
IND00218,102,71.0
IND00218,103,83.2
IND00219,101,59.4
IND00219,102,65.0
IND00219,103,35.3
IND00220,101,94.6
IND00220,102,37.1
IND00220,103,63.8
IND00221,101,26.8
IND00221,102,52.6
IND00221,103,91.0
IND00222,101,82.2
IND00222,102,79.8
IND00222,103,62.1
IND00223,101,89.8
IND00223,102,68.9
IND00223,103,75.3
IND00224,101,100.0
IND00224,102,81.4
IND00224,103,64.0
IND00225,101,72.7
IND00225,102,86.1
IND00225,103,74.3
IND00226,101,76.7
IND00226,102,84.3
IND00226,103,100.0
IND00227,101,51.0
IND00227,102,75.5
IND00227,103,71.9
IND00228,101,59.2
IND00228,102,55.3
IND00228,103,89.8
IND00229,101,49.7
IND00229,102,43.9
IND00229,103,56.6
IND00230,101,38.3
IND00230,102,52.3
IND00230,103,49.2
IND00231,101,66.3
IND00231,102,86.7
IND00231,103,56.2
IND00232,101,78.0
IND00232,102,76.3
IND00232,103,31.7
IND00233,101,56.7
IND00233,102,59.4
IND00233,103,70.7
IND00234,101,73.6
IND00234,102,70.0
IND00234,103,51.6
IND00235,101,55.5
IND00235,102,42.5
IND00235,103,66.0
IND00236,101,59.5
IND00236,102,73.0
IND00236,103,75.5
IND00237,101,60.0
IND00237,102,69.2
IND00237,103,61.8
IND00238,101,48.3
IND00238,102,53.0
IND00238,103,31.0
IND00239,101,59.1
IND00239,102,56.1
IND00239,103,48.6
IND00240,101,77.3
IND00240,102,72.9
IND00240,103,73.3
IND00241,101,75.4
IND00241,102,65.0
IND00241,103,64.8
IND00242,101,77.5
IND00242,102,75.0
IND00242,103,80.4
IND00243,101,64.3
IND00243,102,50.2
IND00243,103,68.6
IND00244,101,56.3
IND00244,102,74.8
IND00244,103,69.3
IND00245,101,65.8
IND00245,102,59.1
IND00245,103,80.0
IND00246,101,78.9
IND00246,102,56.6
IND00246,103,46.6
IND00247,101,67.7
IND00247,102,82.8
IND00247,103,46.1
IND00248,101,72.1
IND00248,102,52.7
IND00248,103,49.7
IND00249,101,79.0
IND00249,102,74.8
IND00249,103,62.7
IND00250,101,76.8
IND00250,102,75.3
IND00250,103,42.7
IND00251,101,66.3
IND00251,102,86.2
IND00251,103,72.1
IND00252,101,25.8
IND00252,102,48.9
IND00252,103,79.9
IND00253,101,56.6
IND00253,102,81.8
IND00253,103,95.7
IND00254,101,61.4
IND00254,102,55.7
IND00254,103,49.9
IND00255,101,76.4
IND00255,102,56.0
IND00255,103,59.0
IND00256,101,48.4
IND00256,102,58.5
IND00256,103,54.4
IND00257,101,35.3
IND00257,102,52.4
IND00257,103,76.2
IND00258,101,85.2
IND00258,102,63.4
IND00258,103,65.5
IND00259,101,69.3
IND00259,102,94.4
IND00259,103,49.9
IND00260,101,46.1
IND00260,102,64.2
IND00260,103,70.9
IND00261,101,64.5
IND00261,102,44.5
IND00261,103,78.3
IND00262,101,62.9
IND00262,102,73.3
IND00262,103,88.3
IND00263,101,43.1
IND00263,102,39.2
IND00263,103,73.5
IND00264,101,34.5
IND00264,102,59.0
IND00264,103,56.4
IND00265,101,70.4
IND00265,102,55.0
IND00265,103,72.4
IND00266,101,49.0
IND00266,102,46.4
IND00266,103,65.3
IND00267,101,66.6
IND00267,102,69.4
IND00267,103,87.2
IND00268,101,84.2
IND00268,102,71.8
IND00268,103,77.1
IND00269,101,68.9
IND00269,102,82.7
IND00269,103,70.5
IND00270,101,56.7
IND00270,102,53.7
IND00270,103,82.3
IND00271,101,62.3
IND00271,102,93.8
IND00271,103,48.4
IND00272,101,83.8
IND00272,102,58.6
IND00272,103,71.1
IND00273,101,45.5
IND00273,102,37.4
IND00273,103,87.2
IND00274,101,58.4
IND00274,102,79.8
IND00274,103,55.2
IND00275,101,79.8
IND00275,102,58.6
IND00275,103,46.8
IND00276,101,74.7
IND00276,102,79.2
IND00276,103,74.6
IND00277,101,62.8
IND00277,102,38.8
IND00277,103,49.0
IND00278,101,54.5
IND00278,102,61.1
IND00278,103,82.0
IND00279,101,63.2
IND00279,102,33.4
IND00279,103,26.1
IND00280,101,54.6
IND00280,102,57.3
IND00280,103,70.3
IND00281,101,43.2
IND00281,102,44.3
IND00281,103,71.8
IND00282,101,85.0
IND00282,102,35.5
IND00282,103,53.5
IND00283,101,81.7
IND00283,102,79.0
IND00283,103,51.1
IND00284,101,82.4
IND00284,102,65.7
IND00284,103,74.9
IND00285,101,54.4
IND00285,102,69.4
IND00285,103,47.5
IND00286,101,56.8
IND00286,102,60.5
IND00286,103,67.1
IND00287,101,100.0
IND00287,102,100.0
IND00287,103,59.2
IND00288,101,87.2
IND00288,102,48.4
IND00288,103,71.0
IND00289,101,54.7
IND00289,102,58.2
IND00289,103,100.0
IND00290,101,59.2
IND00290,102,55.3
IND00290,103,50.0
IND00291,101,53.5
IND00291,102,43.7
IND00291,103,68.3
IND00292,101,68.1
IND00292,102,70.1
IND00292,103,64.8
IND00293,101,56.5
IND00293,102,55.1
IND00293,103,67.4
IND00294,101,64.2
IND00294,102,55.5
IND00294,103,60.7
IND00295,101,88.1
IND00295,102,94.6
IND00295,103,61.7
IND00296,101,54.0
IND00296,102,64.4
IND00296,103,82.0
IND00297,101,64.3
IND00297,102,70.3
IND00297,103,55.1
IND00298,101,47.5
IND00298,102,76.4
IND00298,103,67.9
IND00299,101,74.8
IND00299,102,39.3
IND00299,103,92.5
IND00300,101,68.8
IND00300,102,37.9
IND00300,103,79.8
IND00301,101,59.4
IND00301,102,65.5
IND00301,103,57.8
IND00302,101,63.5
IND00302,102,64.3
IND00302,103,39.9
IND00303,101,78.0
IND00303,102,66.7
IND00303,103,71.7
IND00304,101,77.2
IND00304,102,66.8
IND00304,103,70.0
IND00305,101,42.9
IND00305,102,52.5
IND00305,103,66.3
IND00306,101,67.8
IND00306,102,71.0
IND00306,103,86.1
IND00307,101,63.6
IND00307,102,70.4
IND00307,103,65.9
IND00308,101,61.3
IND00308,102,61.8
IND00308,103,53.2
IND00309,101,63.2
IND00309,102,61.7
IND00309,103,62.7
IND00310,101,38.9
IND00310,102,63.5
IND00310,103,51.8
IND00311,101,64.1
IND00311,102,48.6
IND00311,103,65.7
IND00312,101,60.5
IND00312,102,55.6
IND00312,103,69.3
IND00313,101,70.6
IND00313,102,64.3
IND00313,103,73.5
IND00314,101,58.8
IND00314,102,71.0
IND00314,103,64.4
IND00315,101,50.0
IND00315,102,53.0
IND00315,103,82.5
IND00316,101,88.6
IND00316,102,75.7
IND00316,103,56.3
IND00317,101,86.4
IND00317,102,74.2
IND00317,103,70.0
IND00318,101,92.6
IND00318,102,52.1
IND00318,103,76.6
IND00319,101,52.8
IND00319,102,55.9
IND00319,103,100.0
IND00320,101,72.5
IND00320,102,92.7
IND00320,103,73.2
IND00321,101,71.0
IND00321,102,55.6
IND00321,103,79.7
IND00322,101,65.4
IND00322,102,66.2
IND00322,103,61.1
IND00323,101,63.5
IND00323,102,65.4
IND00323,103,66.8
IND00324,101,64.2
IND00324,102,41.6
IND00324,103,73.1
IND00325,101,63.2
IND00325,102,15.2
IND00325,103,41.2
IND00326,101,57.9
IND00326,102,84.2
IND00326,103,74.1
IND00327,101,54.7
IND00327,102,62.1
IND00327,103,81.6
IND00328,101,55.8
IND00328,102,48.7
IND00328,103,78.2
IND00329,101,81.7
IND00329,102,55.9
IND00329,103,72.3
IND00330,101,64.4
IND00330,102,56.1
IND00330,103,82.5
IND00331,101,55.0
IND00331,102,76.3
IND00331,103,66.0
IND00332,101,62.4
IND00332,102,56.7
IND00332,103,50.2
IND00333,101,61.3
IND00333,102,57.3
IND00333,103,66.4
IND00334,101,47.0
IND00334,102,62.7
IND00334,103,71.1
IND00335,101,54.9
IND00335,102,76.1
IND00335,103,77.7
IND00336,101,46.9
IND00336,102,53.6
IND00336,103,44.9
IND00337,101,71.3
IND00337,102,66.9
IND00337,103,41.0
IND00338,101,55.2
IND00338,102,69.6
IND00338,103,66.7
IND00339,101,83.2
IND00339,102,47.7
IND00339,103,64.9
IND00340,101,50.0
IND00340,102,66.7
IND00340,103,62.3
IND00341,101,69.1
IND00341,102,58.9
IND00341,103,76.4
IND00342,101,54.3
IND00342,102,49.8
IND00342,103,68.4
IND00343,101,92.8
IND00343,102,42.2
IND00343,103,47.8
IND00344,101,68.5
IND00344,102,81.9
IND00344,103,69.6
IND00345,101,55.9
IND00345,102,71.3
IND00345,103,72.7
IND00346,101,54.8
IND00346,102,77.4
IND00346,103,64.5
IND00347,101,38.8
IND00347,102,63.0
IND00347,103,56.5
IND00348,101,84.6
IND00348,102,45.1
IND00348,103,57.8
IND00349,101,68.9
IND00349,102,100.0
IND00349,103,94.3
IND00350,101,64.3
IND00350,102,70.2
IND00350,103,74.0
IND00351,101,49.8
IND00351,102,65.2
IND00351,103,85.3
IND00352,101,67.1
IND00352,102,94.2
IND00352,103,58.3
IND00353,101,63.7
IND00353,102,63.8
IND00353,103,45.5
IND00354,101,81.6
IND00354,102,60.0
IND00354,103,68.9
IND00355,101,56.0
IND00355,102,90.9
IND00355,103,83.5
IND00356,101,65.9
IND00356,102,46.6
IND00356,103,76.2
IND00357,101,81.2
IND00357,102,51.1
IND00357,103,62.8
IND00358,101,66.2
IND00358,102,81.3
IND00358,103,62.7
IND00359,101,79.4
IND00359,102,53.4
IND00359,103,49.2
IND00360,101,92.5
IND00360,102,45.3
IND00360,103,53.7
IND00361,101,76.8
IND00361,102,57.0
IND00361,103,56.6
IND00362,101,62.0
IND00362,102,32.7
IND00362,103,81.8
IND00363,101,67.6
IND00363,102,52.8
IND00363,103,39.3
IND00364,101,44.5
IND00364,102,41.1
IND00364,103,68.4
IND00365,101,68.6
IND00365,102,74.2
IND00365,103,76.0
IND00366,101,74.4
IND00366,102,88.1
IND00366,103,82.9
IND00367,101,79.4
IND00367,102,68.6
IND00367,103,75.8
IND00368,101,58.8
IND00368,102,61.7
IND00368,103,90.8
IND00369,101,56.6
IND00369,102,55.5
IND00369,103,59.6
IND00370,101,56.8
IND00370,102,58.0
IND00370,103,68.6
IND00371,101,69.1
IND00371,102,78.7
IND00371,103,97.8
IND00372,101,59.5
IND00372,102,64.0
IND00372,103,37.4
IND00373,101,45.6
IND00373,102,62.8
IND00373,103,72.0
IND00374,101,72.4
IND00374,102,74.3
IND00374,103,83.9
IND00375,101,90.6
IND00375,102,61.3
IND00375,103,53.0
IND00376,101,74.8
IND00376,102,79.0
IND00376,103,67.0
IND00377,101,62.3
IND00377,102,57.4
IND00377,103,64.4
IND00378,101,75.4
IND00378,102,55.0
IND00378,103,53.0
IND00379,101,74.0
IND00379,102,52.3
IND00379,103,67.3
IND00380,101,66.5
IND00380,102,65.0
IND00380,103,55.4
IND00381,101,91.0
IND00381,102,71.0
IND00381,103,57.3
IND00382,101,70.0
IND00382,102,92.5
IND00382,103,66.3
IND00383,101,88.0
IND00383,102,47.8
IND00383,103,52.2
IND00384,101,32.9
IND00384,102,94.6
IND00384,103,39.5
IND00385,101,67.6
IND00385,102,91.1
IND00385,103,79.6
IND00386,101,70.6
IND00386,102,84.2
IND00386,103,55.0
IND00387,101,72.8
IND00387,102,63.3
IND00387,103,63.0
IND00388,101,67.9
IND00388,102,82.6
IND00388,103,88.5
IND00389,101,61.0
IND00389,102,48.7
IND00389,103,52.7
IND00390,101,94.2
IND00390,102,87.2
IND00390,103,48.6
IND00391,101,89.9
IND00391,102,54.3
IND00391,103,75.0
IND00392,101,54.3
IND00392,102,97.4
IND00392,103,56.4
IND00393,101,49.3
IND00393,102,58.2
IND00393,103,100.0
IND00394,101,68.9
IND00394,102,49.6
IND00394,103,53.2
IND00395,101,38.8
IND00395,102,73.1
IND00395,103,46.2
IND00396,101,81.6
IND00396,102,76.9
IND00396,103,63.5
IND00397,101,83.5
IND00397,102,78.9
IND00397,103,67.4
IND00398,101,53.5
IND00398,102,71.2
IND00398,103,71.1
IND00399,101,72.4
IND00399,102,66.2
IND00399,103,69.9
IND00400,101,69.5
IND00400,102,85.4
IND00400,103,45.9
IND00401,101,50.0
IND00401,102,66.1
IND00401,103,53.6
IND00402,101,68.2
IND00402,102,48.3
IND00402,103,50.7
IND00403,101,95.9
IND00403,102,61.6
IND00403,103,47.4
IND00404,101,63.3
IND00404,102,80.5
IND00404,103,83.1
IND00405,101,43.1
IND00405,102,53.5
IND00405,103,68.3
IND00406,101,64.5
IND00406,102,41.0
IND00406,103,43.4
IND00407,101,49.0
IND00407,102,38.4
IND00407,103,58.1
IND00408,101,82.9
IND00408,102,55.0
IND00408,103,81.2
IND00409,101,65.4
IND00409,102,62.2
IND00409,103,40.0
IND00410,101,82.5
IND00410,102,66.7
IND00410,103,41.0
IND00411,101,70.7
IND00411,102,56.2
IND00411,103,65.9
IND00412,101,68.6
IND00412,102,83.2
IND00412,103,48.1
IND00413,101,73.6
IND00413,102,84.9
IND00413,103,100.0
IND00414,101,80.7
IND00414,102,70.4
IND00414,103,69.1
IND00415,101,88.3
IND00415,102,60.7
IND00415,103,76.9
IND00416,101,97.9
IND00416,102,63.4
IND00416,103,34.8
IND00417,101,52.1
IND00417,102,69.4
IND00417,103,52.4
IND00418,101,59.8
IND00418,102,60.6
IND00418,103,73.4
IND00419,101,50.8
IND00419,102,56.2
IND00419,103,86.1
IND00420,101,57.8
IND00420,102,75.9
IND00420,103,65.2
IND00421,101,64.7
IND00421,102,76.1
IND00421,103,37.1
IND00422,101,71.7
IND00422,102,73.3
IND00422,103,77.7
IND00423,101,59.4
