student_id,gender,age_band,region,school_board,medium_of_instruction,highest_education,parental_education,family_income,internet_access,device_type,data_recharge_frequency,disability,studied_credits,num_of_prev_attempts,has_private_tuition,daily_study_hours,attendance_rate
IND00036,F,55<=,Central,CBSE,English,UG,10th,10L+,Yes,Laptop,Weekly,No,113,0,Yes,2.3,67.3
IND00037,M,25-35,North,ICSE,English,UG,12th,5L-10L,Yes,Desktop,Weekly,No,52,2,Yes,1.9,92.4
IND00038,M,25-35,South,ICSE,English,UG,12th,<1L,Yes,Desktop,Weekly,No,119,1,Yes,2.7,80.2
IND00039,M,18-25,Central,CBSE,English,12th,12th,<1L,Yes,Desktop,Weekly,No,76,0,Yes,2.3,71.7
IND00040,M,18-25,Central,State,Hindi,PG,12th,1L-5L,Yes,Desktop,Weekly,No,107,3,Yes,2.7,65.5
IND00041,M,<18,West,ICSE,Hindi,UG,No formal,<1L,Yes,Mobile,Monthly,No,77,1,No,3.1,94.8
IND00042,F,55<=,North,State,English,12th,10th,<1L,No,Laptop,Daily,No,120,0,No,2.2,71.4
IND00043,F,25-35,East,State,Regional,12th,10th,10L+,Yes,Mobile,Weekly,No,92,2,Yes,1.8,80.6
IND00044,F,<18,North,ICSE,Hindi,10th,UG,1L-5L,Yes,Laptop,Weekly,No,38,3,Yes,0.5,70.3
IND00045,F,35-45,East,CBSE,Hindi,UG,10th,5L-10L,Yes,Desktop,Weekly,No,52,2,Yes,3.3,99.7
IND00046,F,<18,South,ICSE,Regional,PG,10th,1L-5L,Yes,Laptop,Weekly,No,92,2,No,2.6,81.0
IND00047,M,45-55,South,ICSE,Hindi,No formal,PG,5L-10L,Yes,Laptop,Weekly,No,103,3,Yes,2.3,66.5
IND00048,F,<18,Central,State,Regional,12th,PG,10L+,No,Tablet,Monthly,No,76,3,Yes,3.7,75.7
IND00049,F,45-55,South,CBSE,Regional,10th,UG,<1L,Yes,Tablet,Monthly,No,116,0,Yes,1.2,93.9
IND00050,M,45-55,Central,State,English,No formal,12th,<1L,Yes,Desktop,Weekly,No,103,0,Yes,2.6,70.2
IND00051,F,45-55,North,ICSE,Hindi,12th,UG,1L-5L,Yes,Mobile,Weekly,No,95,2,Yes,1.5,76.4
IND00052,M,35-45,South,CBSE,Regional,10th,UG,1L-5L,Yes,Tablet,Weekly,No,66,0,Yes,3.2,91.9
IND00053,F,<18,North,CBSE,English,UG,No formal,1L-5L,Yes,Desktop,Daily,No,67,1,No,0.3,83.4
IND00054,M,<18,North,CBSE,Hindi,10th,10th,<1L,Yes,Mobile,Daily,No,30,3,No,3.3,67.8
IND00055,F,35-45,South,CBSE,English,12th,No formal,<1L,Yes,Tablet,Monthly,No,77,2,No,3.3,82.2
IND00056,F,25-35,North,CBSE,English,UG,10th,10L+,Yes,Laptop,Monthly,No,111,1,No,1.6,78.5
IND00057,M,18-25,South,ICSE,Regional,PG,UG,5L-10L,Yes,Tablet,Daily,No,64,1,No,2.6,80.5
IND00058,M,<18,South,ICSE,Hindi,10th,10th,1L-5L,Yes,Desktop,Weekly,No,100,3,No,1.6,89.5
IND00059,M,18-25,South,ICSE,English,No formal,12th,<1L,Yes,Tablet,Monthly,No,115,0,Yes,2.9,82.4
IND00060,M,55<=,East,State,Regional,UG,12th,5L-10L,No,Tablet,Weekly,No,82,1,No,3.3,79.1
IND00061,M,55<=,North,CBSE,Regional,UG,UG,1L-5L,Yes,Mobile,Weekly,No,54,2,Yes,1.5,78.6
IND00062,M,35-45,West,CBSE,English,PG,PG,1L-5L,Yes,Mobile,Monthly,No,71,1,No,1.2,90.8
IND00063,M,55<=,South,ICSE,English,10th,12th,5L-10L,Yes,Laptop,Daily,No,52,3,Yes,3.6,72.8
IND00064,M,55<=,North,CBSE,Regional,No formal,UG,5L-10L,Yes,Desktop,Daily,No,38,0,No,4.4,58.3
IND00065,F,25-35,Central,State,English,PG,No formal,5L-10L,Yes,Laptop,Daily,No,56,0,Yes,3.0,77.7
IND00066,F,25-35,South,CBSE,English,10th,PG,<1L,Yes,Laptop,Weekly,No,104,2,No,3.1,83.8
IND00067,M,25-35,South,CBSE,Hindi,No formal,12th,10L+,Yes,Tablet,Weekly,Yes,80,2,No,2.2,75.8
IND00068,F,55<=,West,State,Regional,No formal,UG,1L-5L,Yes,Laptop,Weekly,No,120,2,Yes,2.7,74.7
IND00069,F,35-45,East,ICSE,English,12th,UG,1L-5L,Yes,Mobile,Daily,No,86,2,No,2.9,76.4
IND00070,F,45-55,East,ICSE,Regional,No formal,No formal,5L-10L,No,Laptop,Weekly,No,111,2,No,2.3,79.8
IND00071,F,45-55,South,CBSE,Hindi,10th,No formal,<1L,No,Desktop,Monthly,No,65,1,No,3.8,67.0
IND00072,M,18-25,North,State,Regional,PG,PG,5L-10L,Yes,Laptop,Weekly,No,63,1,Yes,2.7,86.6
IND00073,F,45-55,Central,ICSE,Regional,PG,12th,<1L,No,Desktop,Monthly,Yes,42,3,Yes,2.8,53.4
IND00074,M,45-55,Central,ICSE,Regional,12th,UG,10L+,No,Desktop,Daily,No,84,0,Yes,2.3,85.4
IND00075,F,25-35,North,ICSE,Hindi,10th,PG,1L-5L,Yes,Laptop,Weekly,No,75,1,Yes,2.4,83.1
IND00076,F,25-35,South,CBSE,Hindi,No formal,PG,1L-5L,Yes,Laptop,Weekly,No,81,2,No,3.7,85.0
IND00077,F,55<=,Central,State,Regional,12th,No formal,<1L,Yes,Laptop,Daily,Yes,57,3,Yes,2.6,60.7
IND00078,M,18-25,East,CBSE,Regional,UG,UG,10L+,No,Desktop,Weekly,No,115,2,No,2.7,82.9
IND00079,F,<18,North,ICSE,Hindi,10th,10th,10L+,Yes,Mobile,Monthly,No,117,0,No,2.7,74.6
IND00080,M,18-25,West,State,English,12th,No formal,1L-5L,Yes,Tablet,Daily,No,59,2,No,2.1,96.0
IND00081,F,18-25,South,CBSE,Hindi,PG,UG,1L-5L,Yes,Laptop,Monthly,No,74,3,No,1.1,83.6
IND00082,M,35-45,North,ICSE,Regional,12th,PG,5L-10L,Yes,Tablet,Daily,No,67,3,Yes,4.1,68.2
IND00083,F,55<=,Central,ICSE,English,UG,PG,<1L,Yes,Laptop,Monthly,No,49,3,No,3.6,63.1
IND00084,M,35-45,South,CBSE,English,10th,12th,1L-5L,Yes,Desktop,Monthly,No,99,0,No,3.7,73.9
IND00085,M,18-25,East,ICSE,English,12th,10th,10L+,No,Desktop,Monthly,No,76,1,No,1.4,88.1
IND00086,F,18-25,South,ICSE,Hindi,No formal,No formal,10L+,Yes,Tablet,Weekly,No,88,1,Yes,3.9,91.5
IND00087,M,18-25,South,State,Hindi,10th,12th,1L-5L,Yes,Mobile,Weekly,No,108,3,No,4.5,81.8
IND00088,F,45-55,East,ICSE,Hindi,12th,12th,10L+,Yes,Desktop,Weekly,No,108,1,No,3.5,80.8
IND00089,F,35-45,East,CBSE,Hindi,12th,10th,<1L,Yes,Tablet,Weekly,No,43,0,No,4.1,76.7
IND00090,F,18-25,South,State,Regional,10th,No formal,10L+,Yes,Desktop,Weekly,No,71,2,No,3.3,79.8
IND00091,F,25-35,East,CBSE,English,PG,No formal,10L+,No,Laptop,Monthly,No,90,0,No,1.7,92.2
IND00092,F,55<=,North,ICSE,Regional,No formal,PG,1L-5L,Yes,Tablet,Weekly,No,88,1,Yes,3.0,76.5
IND00093,F,55<=,East,State,Hindi,10th,No formal,<1L,Yes,Tablet,Monthly,No,37,0,Yes,1.5,86.6
IND00094,F,25-35,East,State,Hindi,No formal,12th,<1L,No,Laptop,Daily,No,86,2,No,1.9,74.7
IND00095,F,55<=,South,State,Regional,No formal,PG,5L-10L,No,Tablet,Monthly,No,51,0,No,2.8,90.1
IND00096,F,45-55,North,State,English,10th,No formal,<1L,Yes,Laptop,Weekly,No,113,1,No,2.7,85.8
IND00097,F,45-55,West,CBSE,English,12th,10th,5L-10L,Yes,Mobile,Daily,No,117,2,Yes,3.0,89.7
IND00098,F,<18,West,ICSE,Hindi,PG,12th,1L-5L,Yes,Laptop,Weekly,No,50,1,No,0.7,98.8
IND00099,M,<18,Central,ICSE,Hindi,No formal,UG,10L+,Yes,Mobile,Daily,No,57,2,No,2.3,54.2
IND00100,M,<18,East,State,Hindi,No formal,10th,<1L,Yes,Tablet,Monthly,No,78,3,No,3.0,87.5
IND00101,F,55<=,East,ICSE,Hindi,12th,10th,5L-10L,Yes,Laptop,Daily,Yes,52,2,No,3.2,84.7
IND00102,F,45-55,North,CBSE,English,10th,No formal,<1L,Yes,Tablet,Weekly,No,117,1,No,3.3,84.5
IND00103,F,45-55,West,ICSE,Regional,PG,PG,1L-5L,Yes,Mobile,Daily,No,83,3,No,2.8,82.4
IND00104,F,45-55,Central,CBSE,English,No formal,PG,5L-10L,Yes,Desktop,Monthly,No,52,3,Yes,2.1,82.4
IND00105,F,25-35,North,CBSE,Regional,No formal,12th,5L-10L,Yes,Desktop,Daily,No,97,1,No,3.0,83.4
IND00106,F,45-55,East,ICSE,Hindi,10th,No formal,5L-10L,Yes,Desktop,Monthly,No,75,1,No,2.2,89.1
IND00107,F,25-35,West,CBSE,Hindi,12th,PG,1L-5L,Yes,Desktop,Daily,No,97,0,No,3.4,88.3
IND00108,F,<18,Central,CBSE,Regional,UG,UG,5L-10L,Yes,Desktop,Monthly,No,57,1,Yes,2.9,79.8
IND00109,M,<18,South,CBSE,Hindi,12th,No formal,10L+,Yes,Mobile,Monthly,No,79,2,No,2.4,78.1
IND00110,F,55<=,West,CBSE,English,No formal,No formal,1L-5L,Yes,Desktop,Monthly,No,112,3,Yes,1.7,80.2
IND00111,M,<18,Central,State,Hindi,No formal,PG,10L+,Yes,Desktop,Monthly,No,92,0,Yes,3.6,75.9
IND00112,F,55<=,North,ICSE,Hindi,PG,10th,10L+,Yes,Tablet,Weekly,No,39,0,Yes,3.1,97.8
IND00113,F,18-25,South,State,Hindi,12th,No formal,1L-5L,Yes,Laptop,Monthly,No,118,0,No,4.6,67.3
IND00114,M,18-25,Central,CBSE,Hindi,UG,10th,<1L,Yes,Laptop,Weekly,No,66,3,No,3.0,87.5
IND00115,F,35-45,Central,ICSE,English,PG,12th,10L+,Yes,Laptop,Monthly,No,42,0,Yes,3.1,87.4
IND00116,M,55<=,East,CBSE,Regional,UG,12th,1L-5L,No,Laptop,Daily,No,99,3,No,1.0,74.7
IND00117,F,35-45,West,ICSE,Hindi,PG,PG,10L+,Yes,Mobile,Daily,No,59,3,No,2.8,83.0
IND00118,F,35-45,East,State,Hindi,12th,12th,5L-10L,Yes,Laptop,Weekly,No,116,0,No,2.2,92.6
IND00119,M,18-25,South,ICSE,English,No formal,PG,10L+,Yes,Tablet,Daily,No,109,3,Yes,3.3,76.7
IND00120,F,55<=,Central,CBSE,English,UG,PG,10L+,Yes,Mobile,Monthly,No,101,0,Yes,2.8,93.1
IND00121,M,18-25,East,ICSE,English,12th,10th,10L+,Yes,Desktop,Daily,No,109,1,No,3.5,91.2
IND00122,F,35-45,West,ICSE,Hindi,UG,10th,5L-10L,No,Tablet,Weekly,No,40,2,No,4.6,72.9
IND00123,M,55<=,South,State,Regional,12th,12th,10L+,Yes,Tablet,Daily,No,30,1,No,1.7,68.9
IND00124,M,35-45,North,CBSE,English,PG,10th,1L-5L,Yes,Desktop,Weekly,No,115,2,Yes,3.4,81.7
IND00125,F,45-55,East,ICSE,English,12th,No formal,10L+,Yes,Desktop,Monthly,No,47,3,No,3.2,67.6
IND00126,F,55<=,South,State,English,PG,UG,1L-5L,Yes,Tablet,Monthly,No,40,3,Yes,4.5,51.0
IND00127,M,55<=,North,ICSE,Regional,No formal,No formal,10L+,Yes,Mobile,Daily,No,113,0,Yes,3.2,75.1
IND00128,F,35-45,East,CBSE,Hindi,PG,No formal,10L+,Yes,Desktop,Daily,No,39,1,Yes,3.1,100.0
IND00129,F,45-55,South,ICSE,Hindi,10th,PG,10L+,Yes,Laptop,Daily,No,77,1,No,3.4,75.5
IND00130,F,25-35,South,ICSE,Hindi,No formal,UG,<1L,Yes,Tablet,Monthly,No,90,3,No,3.4,83.8
IND00131,M,18-25,East,ICSE,English,12th,PG,<1L,Yes,Tablet,Daily,No,39,1,Yes,4.0,87.0
IND00132,M,35-45,South,ICSE,Hindi,12th,10th,5L-10L,Yes,Desktop,Monthly,No,89,2,No,1.7,79.6
IND00133,M,55<=,Central,CBSE,English,10th,10th,1L-5L,Yes,Desktop,Weekly,No,51,3,No,2.1,76.7
IND00134,M,18-25,East,State,Regional,12th,UG,5L-10L,Yes,Laptop,Daily,No,104,0,No,4.2,92.3
IND00135,M,18-25,South,State,Regional,No formal,12th,1L-5L,No,Laptop,Daily,No,38,0,Yes,0.5,80.4
IND00136,M,18-25,North,ICSE,Hindi,No formal,10th,5L-10L,Yes,Laptop,Weekly,No,44,3,No,2.4,79.1
IND00137,M,25-35,North,CBSE,English,PG,No formal,5L-10L,Yes,Laptop,Weekly,No,112,3,No,2.6,88.0
IND00138,M,<18,Central,CBSE,English,UG,UG,10L+,Yes,Tablet,Weekly,No,66,0,Yes,2.3,69.7
IND00139,M,35-45,East,CBSE,Hindi,12th,UG,10L+,Yes,Desktop,Weekly,No,99,2,Yes,4.1,67.4
IND00140,F,<18,South,CBSE,Regional,10th,10th,10L+,Yes,Mobile,Monthly,No,73,1,Yes,3.0,63.8
IND00141,M,<18,South,CBSE,Regional,No formal,10th,10L+,Yes,Desktop,Daily,No,98,3,No,2.1,85.7
IND00142,F,<18,North,CBSE,Regional,No formal,PG,10L+,Yes,Desktop,Monthly,No,32,3,No,1.9,78.4
IND00143,F,18-25,Central,ICSE,Regional,No formal,PG,5L-10L,Yes,Laptop,Monthly,No,39,2,No,2.8,88.3
IND00144,F,45-55,North,State,Regional,UG,No formal,1L-5L,Yes,Laptop,Weekly,No,106,0,Yes,3.7,80.5
IND00145,M,18-25,North,State,Hindi,UG,UG,<1L,No,Tablet,Daily,No,33,3,No,2.6,66.3
IND00146,M,18-25,Central,ICSE,Hindi,12th,12th,<1L,Yes,Laptop,Monthly,No,85,2,Yes,2.4,76.4
IND00147,M,55<=,East,State,Hindi,10th,12th,1L-5L,Yes,Tablet,Monthly,Yes,69,3,No,1.8,89.0
IND00148,M,55<=,South,CBSE,Regional,UG,UG,<1L,Yes,Desktop,Weekly,No,62,2,No,2.9,77.4
IND00149,F,<18,East,CBSE,Regional,PG,No formal,5L-10L,Yes,Desktop,Daily,No,62,2,No,2.8,91.9
IND00150,M,18-25,West,State,Hindi,UG,PG,1L-5L,Yes,Desktop,Daily,No,89,0,No,1.8,75.5
IND00151,M,<18,West,CBSE,Hindi,No formal,PG,1L-5L,Yes,Tablet,Daily,No,50,1,No,3.5,87.2
IND00152,M,55<=,West,CBSE,Regional,10th,PG,<1L,No,Tablet,Monthly,No,98,0,Yes,4.2,62.2
IND00153,M,45-55,Central,State,English,12th,12th,<1L,No,Tablet,Weekly,No,74,2,No,2.5,77.7
IND00154,M,35-45,North,ICSE,Hindi,UG,12th,5L-10L,Yes,Laptop,Daily,No,86,1,No,2.8,76.1
IND00155,F,<18,East,State,Regional,No formal,No formal,10L+,Yes,Mobile,Monthly,No,106,1,Yes,1.4,66.0
IND00156,M,45-55,South,State,Regional,PG,12th,1L-5L,Yes,Laptop,Monthly,No,69,0,No,3.2,91.1
IND00157,F,35-45,West,State,Hindi,PG,10th,10L+,Yes,Mobile,Daily,No,110,0,Yes,3.0,73.6
IND00158,M,25-35,East,State,English,12th,12th,<1L,Yes,Laptop,Weekly,No,93,3,No,2.2,72.6
IND00159,F,<18,West,ICSE,Regional,12th,PG,1L-5L,Yes,Desktop,Weekly,No,39,1,Yes,1.8,93.0
IND00160,M,<18,West,ICSE,Hindi,UG,No formal,10L+,Yes,Tablet,Daily,No,103,2,Yes,4.3,81.6
IND00161,M,25-35,South,CBSE,Regional,12th,UG,5L-10L,Yes,Laptop,Monthly,No,95,3,Yes,2.9,87.8
IND00162,F,25-35,Central,CBSE,Regional,No formal,UG,5L-10L,Yes,Tablet,Weekly,No,114,3,No,1.6,63.0
IND00163,F,<18,North,State,Regional,No formal,No formal,5L-10L,Yes,Laptop,Monthly,No,94,3,Yes,3.4,72.0
IND00164,F,25-35,Central,CBSE,Regional,No formal,10th,1L-5L,No,Desktop,Monthly,No,59,3,No,2.7,100.0
IND00165,M,18-25,East,ICSE,English,UG,UG,1L-5L,Yes,Tablet,Weekly,No,111,0,No,2.6,88.5
IND00166,F,35-45,Central,CBSE,Hindi,UG,PG,1L-5L,Yes,Desktop,Monthly,No,64,1,Yes,3.5,69.3
IND00167,M,35-45,East,CBSE,Hindi,12th,UG,1L-5L,Yes,Mobile,Monthly,No,82,3,Yes,0.0,82.3
IND00168,M,35-45,East,CBSE,Hindi,UG,UG,1L-5L,Yes,Tablet,Daily,No,68,1,No,0.7,70.0
IND00169,F,18-25,North,State,Hindi,No formal,PG,10L+,No,Laptop,Weekly,No,51,2,Yes,3.9,93.9
IND00170,F,25-35,South,CBSE,Hindi,10th,12th,10L+,Yes,Tablet,Monthly,No,96,1,Yes,2.4,57.3
IND00171,M,45-55,North,ICSE,English,No formal,10th,5L-10L,Yes,Mobile,Weekly,No,99,0,No,2.1,82.8
IND00172,M,25-35,Central,ICSE,Regional,10th,PG,10L+,Yes,Mobile,Weekly,No,109,1,Yes,1.2,82.6
IND00173,F,<18,East,ICSE,Regional,12th,PG,10L+,Yes,Laptop,Monthly,No,96,2,Yes,2.7,68.9
IND00174,F,55<=,West,ICSE,Hindi,PG,No formal,5L-10L,Yes,Desktop,Weekly,No,104,2,Yes,2.8,77.3
IND00175,F,35-45,West,CBSE,Regional,UG,10th,5L-10L,Yes,Tablet,Daily,No,46,3,Yes,3.9,83.8
IND00176,M,25-35,East,State,Regional,UG,12th,<1L,No,Desktop,Daily,No,48,2,No,2.9,62.2
IND00177,M,45-55,North,ICSE,Regional,No formal,PG,5L-10L,Yes,Desktop,Monthly,No,89,3,Yes,2.2,67.2
IND00178,M,<18,South,ICSE,Hindi,No formal,12th,10L+,Yes,Laptop,Weekly,No,101,0,No,2.9,78.4
IND00179,M,18-25,North,State,Hindi,10th,PG,1L-5L,Yes,Tablet,Monthly,No,107,0,No,3.6,71.7
IND00180,M,18-25,East,State,English,UG,PG,5L-10L,Yes,Mobile,Weekly,No,119,0,No,3.4,75.4
IND00181,M,45-55,East,ICSE,Hindi,12th,No formal,<1L,Yes,Laptop,Monthly,No,118,1,Yes,3.1,79.8
IND00182,F,<18,South,ICSE,English,No formal,UG,10L+,Yes,Desktop,Monthly,No,80,2,No,2.8,70.9
IND00183,M,35-45,Central,State,Hindi,UG,10th,<1L,Yes,Mobile,Weekly,No,77,2,No,1.9,79.7
IND00184,M,25-35,Central,ICSE,Regional,PG,No formal,<1L,Yes,Desktop,Daily,No,86,2,Yes,1.5,83.0
IND00185,M,<18,South,ICSE,English,10th,12th,10L+,Yes,Tablet,Monthly,No,39,3,No,1.3,87.8
IND00186,F,18-25,Central,CBSE,English,No formal,PG,<1L,Yes,Desktop,Daily,No,61,3,Yes,2.9,67.5
IND00187,M,45-55,West,State,English,No formal,PG,10L+,Yes,Mobile,Weekly,No,108,0,Yes,3.0,73.7
IND00188,M,45-55,Central,CBSE,Hindi,12th,10th,<1L,Yes,Tablet,Monthly,No,97,2,No,3.6,85.9
IND00189,F,25-35,Central,CBSE,English,No formal,No formal,1L-5L,Yes,Laptop,Weekly,No,57,1,Yes,3.1,65.2
IND00190,M,45-55,Central,State,Hindi,UG,No formal,5L-10L,Yes,Desktop,Daily,No,33,1,No,3.6,81.1
IND00191,M,45-55,West,CBSE,English,UG,12th,1L-5L,Yes,Tablet,Weekly,No,90,0,Yes,2.4,80.3
IND00192,M,<18,Central,ICSE,Hindi,UG,No formal,1L-5L,Yes,Tablet,Monthly,No,106,3,No,3.3,54.1
IND00193,M,35-45,West,CBSE,English,PG,No formal,<1L,Yes,Laptop,Daily,No,41,3,No,1.5,75.1
IND00194,M,25-35,South,State,Regional,PG,UG,5L-10L,Yes,Laptop,Monthly,No,44,3,Yes,2.4,83.3
IND00195,F,<18,North,ICSE,Regional,No formal,10th,5L-10L,Yes,Mobile,Daily,No,58,0,No,0.7,77.9
IND00196,F,35-45,South,ICSE,English,PG,No formal,5L-10L,Yes,Tablet,Weekly,No,116,0,No,2.5,75.3
IND00197,F,<18,North,ICSE,Hindi,PG,12th,<1L,Yes,Tablet,Weekly,Yes,42,2,Yes,3.7,81.6
IND00198,M,55<=,South,ICSE,Hindi,12th,PG,1L-5L,Yes,Mobile,Monthly,No,67,2,Yes,2.6,89.9
IND00199,M,<18,North,CBSE,Hindi,PG,No formal,10L+,Yes,Desktop,Monthly,No,87,2,Yes,3.2,85.4
IND00200,M,45-55,North,CBSE,Regional,10th,No formal,10L+,Yes,Tablet,Monthly,No,64,1,No,2.8,72.4
IND00201,F,35-45,East,ICSE,Regional,10th,PG,10L+,Yes,Tablet,Daily,No,69,1,Yes,1.9,65.4
IND00202,M,25-35,North,State,Regional,10th,UG,5L-10L,Yes,Desktop,Daily,No,105,2,No,2.3,85.2
IND00203,M,25-35,North,ICSE,Hindi,No formal,10th,10L+,Yes,Laptop,Monthly,No,34,1,Yes,3.7,68.2
IND00204,F,35-45,East,CBSE,Hindi,UG,UG,1L-5L,Yes,Laptop,Daily,No,31,1,No,3.2,74.7
IND00205,M,45-55,Central,ICSE,Hindi,12th,12th,10L+,Yes,Laptop,Daily,No,59,3,Yes,1.9,82.0
IND00206,F,18-25,Central,CBSE,English,No formal,No formal,5L-10L,Yes,Mobile,Weekly,No,39,3,No,1.1,91.5
IND00207,F,<18,East,ICSE,English,UG,UG,5L-10L,Yes,Desktop,Weekly,No,102,0,Yes,2.7,92.9
IND00208,F,45-55,West,State,English,12th,10th,10L+,Yes,Laptop,Weekly,No,110,3,Yes,1.9,80.6
IND00209,M,55<=,North,ICSE,Regional,12th,12th,5L-10L,Yes,Mobile,Monthly,No,67,2,Yes,2.3,74.9
IND00210,M,35-45,North,State,Regional,12th,UG,10L+,Yes,Desktop,Weekly,No,88,3,Yes,1.0,68.0
IND00211,M,<18,East,State,Hindi,10th,No formal,5L-10L,Yes,Laptop,Weekly,No,64,1,Yes,3.5,99.6
IND00212,M,25-35,East,ICSE,English,10th,10th,<1L,Yes,Tablet,Daily,No,100,1,Yes,2.4,77.1
IND00213,M,18-25,West,State,Hindi,10th,No formal,<1L,Yes,Tablet,Weekly,Yes,41,2,No,2.6,86.8
IND00214,M,55<=,Central,State,English,12th,No formal,1L-5L,Yes,Laptop,Daily,No,71,2,Yes,1.7,82.0
IND00215,M,25-35,South,CBSE,English,12th,12th,<1L,Yes,Laptop,Weekly,No,78,3,Yes,2.2,75.0
IND00216,F,35-45,Central,CBSE,Hindi,10th,10th,10L+,Yes,Mobile,Monthly,No,96,3,Yes,2.6,74.6
IND00217,M,<18,North,State,Hindi,12th,PG,5L-10L,Yes,Tablet,Monthly,No,62,3,Yes,1.9,66.2
IND00218,F,35-45,East,ICSE,English,10th,No formal,1L-5L,Yes,Desktop,Weekly,No,42,0,No,2.3,91.2
